Country,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
"Venezuela, RB",862,SDG 6.4.2. Water Stress,4550,2017,7.540366667,E,,0
Vietnam,704,SDG 6.4.2. Water Stress,4550,2017,18.13031538,E,,0
"Yemen, Rep.",887,SDG 6.4.2. Water Stress,4550,2017,169.7619048,I,,0
Zambia,894,SDG 6.4.2. Water Stress,4550,2017,2.835497836,E,,0
Zimbabwe,716,SDG 6.4.2. Water Stress,4550,2017,31.34622606,E,,0
,,,,,,,,
,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
(c)  FAO of the UN,,,,,,,,
The information contained in AQUASTAT is provided free of charge to all users. Recommended citation:<br/>,,,,,,,,
"FAO [Year of publication].AQUASTAT Database. AQUASTAT&nbsp;<a href=""""http://www.fao.org/nr/water/aquastat/data/query/index.html?lang=en"""" target=""""_blank"""">Website</a>&nbsp;accessed on&nbsp;[02/08/2022 18:57]",,,,,,,,
 ,,,,,,,,
